secao, aula, tipo, duracao_min, descricao
"Módulo 07 — Design System: Consistência em Escala","3. Design Tokens","video","3",""
"Módulo 07 — Design System: Consistência em Escala","4. Componentes","video","3",""
"Módulo 07 — Design System: Consistência em Escala","5. Documentação","video","3",""
"Módulo 07 — Design System: Consistência em Escala","Button — Especificação Técnica","video","3",""
"Módulo 07 — Design System: Consistência em Escala","6. Versionamento","video","3",""
"Módulo 07 — Design System: Consistência em Escala","Breaking Changes","video","3",""
"Módulo 07 — Design System: Consistência em Escala","[2.1.0] — 2026-06-15","video","3",""
"Módulo 07 — Design System: Consistência em Escala","[2.0.0] — 2026-05-20","video","3",""
"Módulo 07 — Design System: Consistência em Escala","7. Consumo em Projetos","video","3",""
"Módulo 07 — Design System: Consistência em Escala","8. Manutenção","video","3",""
"Módulo 07 — Design System: Consistência em Escala","Como contribuir com um novo componente","video","3",""
"Módulo 07 — Design System: Consistência em Escala","9. Design System no Enterprise","video","3",""
"Módulo 07 — Design System: Consistência em Escala","10. Implementação Prática","video","3",""
